id,nome_empresa
e0,Alves S.A.
e1,Melo S.A.
e2,Albuquerque Souza Ltda.
e3,Pastor
e4,Pinto
e5,Rios S.A.
e6,Farias
e7,Dias
e8,Santos
e9,Alves
e10,Martins
e11,Gonçalves Barros - ME
e12,Barros
e13,Jesus
e14,Aparecida Abreu e Filhos
e15,Vieira S.A.
e16,Ferreira
e17,Costela Ltda.
e18,Almeida S/A
e19,Freitas
e20,Cavalcante
e21,Souza S.A.
e22,da Costa
e23,Pacheco
e24,Macedo
e25,Nunes
e26,Alves
e27,Freitas - EI
e28,Barbosa
e29,Silva S/A
e30,Nunes S/A
e31,Andrade Ltda.
e32,Moreira - ME
e33,da Costa
e34,Ramos Cassiano e Filhos
e35,Martins
e36,Cunha das Neves - EI
e37,Pires - ME
e38,Teixeira Vargas S.A.
e39,Marques
e40,Casa Grande - EI
e41,da Paz
e42,Azevedo Moura e Filhos
e43,Cardoso
e44,Silva
e45,Melo da Conceição - EI
e46,Brito - EI
e47,Barros Andrade - EI
e48,da Rosa
e49,Moreira S/A
e50,Almeida
e51,Garcia Costela S.A.
e52,da Mata
e53,Cavalcante - ME
e54,Gonçalves - EI
e55,Caldeira
e56,da Mata
e57,Moreira e Filhos
e58,Garcia Fonseca - EI
e59,da Costa
e60,da Mata Rodrigues Ltda.
e61,Nunes S/A
e62,Fonseca e Filhos
e63,Nunes Novaes S.A.
e64,Carvalho
e65,Gomes
e66,Rocha
e67,Novaes
e68,Peixoto
e69,Brito Souza - ME
e70,Novaes
e71,Caldeira
e72,Souza
e73,Novais Ltda.
e74,Casa Grande
e75,Costa
e76,Moura
e77,das Neves Machado Ltda.
e78,Correia
e79,Araújo
e80,Mendonça
e81,Correia Rodrigues - ME
e82,Azevedo
e83,Monteiro
e84,Silva
e85,Campos Novaes - EI
e86,Borges
e87,Vasconcelos
e88,Câmara Pacheco S.A.
e89,Fonseca Carvalho e Filhos
e90,da Mata
e91,Cirino Ribeiro - EI
e92,da Rosa Alves S.A.
e93,Peixoto
e94,Silveira
e95,Almeida S/A
e96,Santos
e97,Câmara
e98,Campos S/A
e99,Rios - ME
