id_pessoa,id_empresa
p36163,e1275
p89759,e9092
p90711,e1265
p44101,e1728
p49648,e5156
p22736,e901
p47842,e8845
p26922,e3579
p88903,e6769
p15287,e2805
p74730,e916
p1448,e8774
p12479,e5370
p64151,e4315
p24533,e6379
p85322,e2917
p78648,e1565
p64119,e1611
p60881,e6126
p43830,e9522
p19942,e6109
p89453,e8265
p83234,e8262
p84456,e1052
p59967,e2802
p33671,e1453
p770,e4326
p24221,e6868
p74349,e2637
p48016,e3682
p28229,e9529
p70902,e6872
p25590,e7033
p49758,e3585
p32166,e5633
p38914,e8095
p88480,e1267
p54916,e2350
p95567,e3405
p23777,e5981
p47946,e942
p52219,e3149
p73698,e9893
p78837,e5900
p74421,e2529
p60344,e8910
p99272,e7766
p21332,e4930
p39340,e9534
p25240,e1131
p53475,e3763
p63502,e7641
p3667,e898
p61186,e4530
p70558,e7693
p91170,e403
p91113,e3386
p25900,e976
p62535,e1967
p23714,e758
p38,e7048
p54808,e5314
p5999,e6008
p61531,e2216
p79201,e6082
p37383,e7588
p19647,e9196
p83064,e5894
p62958,e9508
p28190,e6248
p17669,e8189
p66423,e4097
p30903,e3669
p63859,e6251
p27371,e8479
p78004,e3379
p95600,e9590
p52079,e6565
p55864,e2884
p64083,e8876
p12519,e2062
p70775,e5119
p15452,e6486
p66536,e6232
p20343,e3194
p47439,e1582
p49776,e8386
p95100,e9465
p46734,e6111
p40491,e5619
p74184,e5
p63245,e8666
p93427,e9029
p11631,e3193
p5705,e9937
p61886,e506
p5854,e8555
p88295,e6419
p75216,e6162
p84953,e2891
p59951,e7174
p75965,e2636
p19232,e5410
p44837,e4203
p91553,e5898
p34828,e1778
p43540,e2464
p89501,e7752
p7883,e1446
p13880,e1011
p55713,e8198
p50826,e2611
p87430,e4283
p28274,e7290
p3233,e9879
p17887,e3365
p94677,e2165
p95683,e8174
p56201,e8278
p94028,e9878
p25853,e5061
p64646,e3681
p52188,e823
p98399,e9940
p79099,e3672
p78052,e1549
p22454,e1244
p24160,e2453
p739,e5126
p8035,e1318
p65540,e64
p65362,e9344
p16942,e9253
p19694,e4042
p8214,e3235
p51239,e5504
p391,e2987
p14452,e8913
p24259,e9846
p75615,e1387
p61080,e9037
p6772,e2224
p61427,e2475
p42265,e7104
p52813,e4171
p3287,e3132
p45731,e9025
p6626,e1622
p56175,e920
p53092,e2022
p8651,e7686
p37959,e678
p41165,e9138
p15019,e3907
p7924,e6971
p43281,e2858
p46543,e6133
p528,e881
p11871,e153
p37567,e4193
p27298,e6774
p83383,e4154
p19438,e538
p2653,e3798
p10733,e5835
p71525,e6832
p75325,e3995
p57032,e7667
p87682,e3512
p17074,e2333
p16200,e8270
p68848,e3487
p99066,e5167
p45479,e4492
p97501,e6180
p58509,e157
p21609,e3817
p16084,e2345
p90066,e2642
p54184,e5130
p75726,e6485
p37265,e3360
p80209,e2312
p25734,e1754
p91889,e4036
p73423,e454
p64908,e228
p71337,e4603
p25902,e7001
p9206,e1196
p54744,e2313
p10901,e5900
p49953,e4619
p733,e271
p88608,e9096
p85675,e7676
p72191,e8748
p34701,e2254
p73075,e5999
p78969,e2835
p43626,e2544
p74013,e1730
p56424,e6104
p27329,e9455
p29173,e9781
p55053,e3296
p32737,e5627
p61008,e2185
p15399,e6715
p22558,e2168
p40206,e6226
p9889,e7491
p30892,e1847
p64674,e9213
p60337,e7417
p83274,e5250
p48382,e1191
p55274,e7522
p74060,e5062
p25137,e7283
p92149,e3597
p56277,e2175
p64952,e3536
p51404,e7580
p95821,e7169
p21399,e8852
p51071,e6277
p78221,e6232
p62590,e4094
p62016,e5743
p40705,e8848
p6727,e5209
p85466,e8343
p39006,e3205
p18578,e5348
p87022,e2516
p21853,e8082
p95930,e233
p67313,e2701
p3369,e6881
p42127,e8368
p65997,e59
p26049,e7918
p16394,e9009
p83726,e989
p70053,e512
p7290,e3757
p13322,e231
p69623,e8013
p64170,e6973
p80079,e389
p75829,e6560
p59368,e7380
p99002,e2387
p99201,e6358
p90244,e7861
p62968,e5665
p69563,e3427
p743,e3502
p20988,e5826
p74003,e2596
p57300,e6018
p33755,e3892
p32149,e1306
p36954,e8242
p91223,e2000
p1418,e3941
p81407,e7856
p4119,e5441
p42307,e5933
p98574,e4525
p58676,e3781
p66481,e2395
p7163,e6260
p48914,e5050
p20890,e9819
p77634,e9913
p74208,e2105
p99131,e4111
p29762,e2355
p36764,e7421
p2324,e9642
p92119,e8109
p95032,e1319
p90962,e9679
p41125,e7874
p35286,e4235
p67101,e5152
p460,e6162
p38889,e2248
p10247,e2786
p92194,e7826
p87129,e4118
p27873,e9571
p56808,e9202
p27029,e380
p26467,e6987
p84480,e868
p70641,e2740
p55088,e377
p42487,e8672
p84038,e6455
p35026,e5056
p56628,e2698
p19864,e2413
p96479,e8831
p88198,e6187
p2500,e1136
p59869,e9854
p17956,e663
p12953,e8162
p39962,e7590
p75934,e5690
p42714,e4234
p29667,e7131
p93092,e4533
p8813,e8399
p74566,e7555
p96401,e9717
p34652,e3151
p13685,e8999
p80322,e9002
p12904,e6835
p20958,e6982
p40912,e9730
p81131,e5405
p24124,e7644
p85376,e8768
p53943,e7785
p66382,e7922
p84879,e8454
p63240,e3781
p13288,e3116
p12828,e7110
p10402,e2364
p19238,e2811
p27193,e1059
p54763,e7114
p79668,e4098
p21476,e1383
p84177,e4963
p33718,e7770
p93447,e8160
p18037,e5101
p47993,e6594
p46654,e4545
p50000,e5768
p61745,e1353
p812,e3319
p66225,e5264
p80061,e8363
p57181,e5144
p50749,e8237
p12368,e6092
p37497,e1448
p67213,e5785
p16660,e8190
p88542,e9631
p93893,e1539
p36887,e2959
p46911,e5543
p35607,e3279
p8190,e8284
p38942,e389
p71545,e5174
p67244,e497
p74060,e2672
p16836,e7826
p62968,e6643
p33057,e9133
p91633,e9453
p67905,e2657
p54476,e9416
p23479,e8034
p92703,e410
p91485,e7018
p43372,e643
p80570,e318
p94904,e9369
p4025,e9136
p27480,e8158
p64035,e9773
p44410,e6011
p24597,e8653
p50811,e8487
p66462,e8357
p97857,e9921
p97944,e9921
p68780,e2555
p91429,e3649
p35688,e6215
p448,e4324
p6247,e3103
p11221,e132
p30405,e9173
p64397,e4313
p95448,e2660
p53321,e4410
p44533,e8185
p45022,e8237
p70473,e4732
p62031,e8581
p18819,e4354
p99986,e9727
p69815,e5019
p48552,e5096
p24771,e1504
p25237,e9127
p12737,e6635
p61936,e8561
p5839,e7645
p43684,e1371
p91585,e841
p77026,e3554
p33815,e8750
p33860,e8419
p74814,e2036
p89575,e2582
p75240,e7798
p87503,e1233
p37497,e1351
p94236,e1328
p57240,e2415
p67482,e2353
p20656,e8657
p97595,e911
p64934,e5371
p36302,e8499
p83050,e3039
p82810,e2802
p28566,e239
p54939,e7472
p83052,e7763
p81603,e808
p31719,e2232
p36207,e2701
p21145,e5885
p36070,e6273
p28026,e4403
p57982,e726
p18711,e1542
p40506,e5071
p67142,e8305
p70532,e4445
p54511,e103
p38489,e3060
p7393,e7674
p35800,e6535
p82633,e2647
p4195,e6181
p5055,e6596
p58810,e4089
p3202,e2765
p30646,e3752
p25726,e5761
p60859,e1428
p26885,e3851
p15820,e965
p6395,e3928
p34864,e9420
p13199,e4017
p89731,e7254
p40325,e1098
p43671,e72
p48861,e939
p36216,e4555
p95174,e3996
p67717,e1673
p99001,e2742
p63251,e3337
p61030,e5941
p1648,e4165
p15789,e3569
p51013,e567
p42384,e7383
p25129,e7399
p56568,e9695
p76133,e6912
p56851,e5650
p23647,e8685
p3654,e2624
p3132,e3915
p11788,e848
p26847,e3470
p21741,e2965
p31175,e1151
p17298,e6198
p30666,e8529
p46987,e4484
p34648,e1114
p53661,e748
p99682,e4182
p12137,e620
p55641,e3488
p31075,e9761
p95310,e3512
p89018,e7194
p97710,e2433
p74330,e8692
p13453,e269
p26132,e8929
p97592,e8794
